   0 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   0 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  54 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  43 RE_DO        Activity 0 (old=0 new=0)         ] || [State  45: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  55 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  43 RE_DO        Activity 0 (old=0 new=0)         ] || [State  46: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  56 [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  44 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  57 [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  45 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  47: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  58 [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  46 RE_DO        Activity 0 (old=0 new=0)         ] || [State  48: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  59 [State  11: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  46 RE_DO        Activity 0 (old=0 new=0)         ] || [State  49: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  60 [State  12: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  47 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  50: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   0.00] || [Price_cost:   0.0]
  61 [State  12: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  47 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  51: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   0.00] || [Price_cost:   0.0]
  62 [State  12: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  48 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  52: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  63 [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  50 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  64 [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  51 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  53: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  65 [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  52 RE_DO        Activity 0 (old=0 new=0)         ] || [State  54: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  66 [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  52 RE_DO        Activity 0 (old=0 new=0)         ] || [State  55: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  67 [State  14: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  4.00] || [Action:  53 NO_ACTION    Activity 2 (old=2 new=2)         ] || [State  56: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 1.00)] Global_state=SUCCEED  currTimeCost=   9.00, nextTimeCost=  0.00] [Posibility: 0.80] || [Time_cost:   0.00] || [Price_cost:   0.0]
  68 [State  14: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  4.00] || [Action:  53 NO_ACTION    Activity 2 (old=2 new=2)         ] || [State  57: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x=-1.00)] Global_state=FAILED   currTimeCost=   9.00, nextTimeCost=  4.00] [Posibility: 0.20] || [Time_cost:   0.00] || [Price_cost:   0.0]
  69 [State  14: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  4.00] || [Action:  54 TERMINATE    Activity 2 (old=2 new=2)         ] || [State  58: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  4.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  70 [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  56 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  71 [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  57 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  59: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  72 [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  58 RE_DO        Activity 1 (old=1 new=1)         ] || [State  60: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   8.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   3.00] || [Price_cost:  20.0]
  73 [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  58 RE_DO        Activity 1 (old=1 new=1)         ] || [State  61: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   3.00] || [Price_cost:  20.0]
  74 [State  16: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  59 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  16: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  75 [State  16: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  60 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  62: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  76 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  62 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  77 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  63 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  63: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  78 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  64 RE_DO        Activity 0 (old=0 new=0)         ] || [State  64: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  79 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  64 RE_DO        Activity 0 (old=0 new=0)         ] || [State  65: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  80 [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  65 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  81 [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  66 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  66: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  82 [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  67 RE_DO        Activity 0 (old=0 new=0)         ] || [State  67: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  83 [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  67 RE_DO        Activity 0 (old=0 new=0)         ] || [State  68: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  84 [State  18: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] || [Action:  68 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  69: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   7.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   0.00] || [Price_cost:   0.0]
  85 [State  18: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] || [Action:  68 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  70: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   7.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   0.00] || [Price_cost:   0.0]
  86 [State  18: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] || [Action:  69 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  71: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  87 [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] || [Action:  71 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  88 [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] || [Action:  72 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  72: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  89 [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] || [Action:  73 RE_DO        Activity 0 (old=0 new=0)         ] || [State  73: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  90 [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] || [Action:  73 RE_DO        Activity 0 (old=0 new=0)         ] || [State  74: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  91 [State  20: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   8.00, nextTimeCost=  4.00] || [Action:  74 NO_ACTION    Activity 2 (old=2 new=2)         ] || [State  75: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 1.00)] Global_state=SUCCEED  currTimeCost=  12.00, nextTimeCost=  0.00] [Posibility: 0.80] || [Time_cost:   0.00] || [Price_cost:   0.0]
  92 [State  20: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   8.00, nextTimeCost=  4.00] || [Action:  74 NO_ACTION    Activity 2 (old=2 new=2)         ] || [State  76: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x=-1.00)] Global_state=FAILED   currTimeCost=  12.00, nextTimeCost=  4.00] [Posibility: 0.20] || [Time_cost:   0.00] || [Price_cost:   0.0]
  93 [State  20: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   8.00, nextTimeCost=  4.00] || [Action:  75 TERMINATE    Activity 2 (old=2 new=2)         ] || [State  77: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  4.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  94 [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] || [Action:  77 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  95 [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] || [Action:  78 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  78: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  96 [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] || [Action:  79 RE_DO        Activity 1 (old=1 new=1)         ] || [State  79: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=  11.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   3.00] || [Price_cost:  20.0]
  97 [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] || [Action:  79 RE_DO        Activity 1 (old=1 new=1)         ] || [State  80: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=  11.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   3.00] || [Price_cost:  20.0]
  98 [State  22: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  80 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  22: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  99 [State  22: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  81 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  81: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
 100 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  83 NO_ACTION    Activity 0 (old=3 new=3)         ] || [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
 101 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  84 TERMINATE    Activity 0 (old=3 new=3)         ] || [State  82: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
 102 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  85 RE_DO        Activity 0 (old=3 new=3)         ] || [State  83: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=  10.00, nextTimeCost=  3.00] [Posibility: 0.75] || [Time_cost:   5.00] || [Price_cost:  40.0]
 103 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  85 RE_DO        Activity 0 (old=3 new=3)         ] || [State  84: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=  10.00, nextTimeCost=  5.00] [Posibility: 0.25] || [Time_cost:   5.00] || [Price_cost:  40.0]
 104 [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  86 NO_ACTION    Activity 0 (old=3 new=3)         ] || [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
 105 [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  87 TERMINATE    Activity 0 (old=3 new=3)         ] || [State  85: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
 106 [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  88 RE_DO        Activity 0 (old=3 new=3)         ] || [State  86: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=  10.00, nextTimeCost=  3.00] [Posibility: 0.75] || [Time_cost:   5.00] || [Price_cost:  40.0]
 107 [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  88 RE_DO        Activity 0 (old=3 new=3)         ] || [State  87: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=  10.00, nextTimeCost=  5.00] [Posibility: 0.25] || [Time_cost:   5.00] || [Price_cost:  40.0]
